1;str27;50;str16
2;str6;44;str30
3;str31;18;str9
4;str18;2;str16
5;str13;46;str35
6;str9;47;str22
7;str39;36;str21
8;str28;36;str41
9;str2;17;str23
10;str15;16;str6
11;str1;40;str17
12;str20;8;str46
13;str34;5;str8
14;str38;21;str16
15;str40;48;str20
16;str11;27;str42
17;str9;25;str5
18;str24;7;str43
19;str13;24;str3
20;str23;47;str28
21;str43;48;str43
22;str12;21;str22
23;str12;41;str3
24;str6;38;str33
25;str39;41;str20
26;str41;12;str48
27;str2;21;str28
28;str28;35;str25
29;str37;33;str6
30;str2;15;str8
31;str10;9;str28
32;str34;37;str6
33;str40;24;str8
34;str49;47;str21
35;str1;7;str17
36;str17;31;str36
37;str23;36;str28
38;str8;39;str32
39;str40;9;str27
40;str31;23;str48
41;str24;47;str11
42;str1;17;str31
43;str13;37;str7
44;str18;29;str17
45;str7;3;str1
46;str20;44;str19
47;str45;43;str23
48;str47;2;str1
49;str42;32;str28
50;str44;42;str35
51;str49;3;str14
52;str16;19;str1
53;str19;47;str11
54;str13;47;str45
55;str9;33;str1
56;str4;7;str47
57;str35;22;str34
58;str18;16;str32
59;str21;14;str22
60;str44;22;str46
61;str23;22;str50
62;str12;42;str5
63;str2;17;str1
64;str28;32;str22
65;str45;40;str23
66;str40;44;str29
67;str7;13;str18
68;str23;24;str16
69;str28;21;str49
70;str29;32;str17
71;str34;24;str19
72;str28;5;str3
73;str6;42;str4
74;str23;16;str28
75;str34;15;str44
76;str10;38;str23
77;str29;10;str30
78;str11;7;str36
79;str5;19;str4
80;str5;28;str4
81;str3;36;str37
82;str8;16;str28
83;str27;41;str19
84;str15;13;str7
85;str8;29;str37
86;str46;29;str5
87;str13;3;str27
88;str5;25;str18
89;str8;25;str47
90;str37;26;str1
91;str19;34;str3
92;str17;8;str18
93;str15;12;str42
94;str29;36;str48
95;str39;26;str46
96;str12;39;str30
97;str41;25;str22
98;str48;30;str49
99;str13;45;str31
100;str19;7;str22
101;str43;33;str2
102;str24;16;str29
103;str3;48;str10
104;str33;29;str7
105;str35;13;str31
106;str20;1;str45
107;str34;38;str50
108;str3;18;str9
109;str24;37;str3
110;str2;36;str19
111;str35;20;str41
112;str34;49;str21
113;str35;31;str32
114;str36;29;str4
115;str19;19;str20
116;str13;46;str17
117;str25;43;str28
118;str4;17;str36
119;str26;42;str34
120;str9;49;str16
121;str18;5;str30
122;str17;18;str50
123;str45;28;str32
124;str36;25;str10
125;str47;29;str45
126;str17;26;str22
127;str49;1;str5
128;str31;27;str48
129;str7;46;str35
130;str40;38;str14
131;str44;29;str7
132;str26;31;str17
133;str30;16;str2
134;str48;33;str22
135;str45;44;str30
136;str10;13;str26
137;str31;36;str2
138;str21;40;str34
139;str36;25;str18
140;str12;16;str48
141;str40;27;str27
142;str42;28;str33
143;str22;2;str13
144;str37;14;str12
145;str12;27;str14
146;str19;44;str3
147;str19;6;str42
148;str49;11;str21
149;str6;25;str33
150;str12;38;str26
151;str15;12;str25
152;str24;11;str43
153;str10;17;str23
154;str33;20;str17
155;str36;28;str41
156;str9;46;str38
157;str34;30;str49
158;str43;32;str10
159;str35;29;str17
160;str45;46;str1
161;str30;11;str7
162;str48;44;str36
163;str14;2;str42
164;str42;13;str8
165;str48;33;str35
166;str2;4;str17
167;str30;28;str42
168;str6;17;str22
169;str20;22;str41
170;str44;14;str50
171;str5;49;str20
172;str31;18;str17
173;str15;41;str45
174;str5;17;str43
175;str9;21;str18
176;str22;22;str40
177;str36;42;str8
178;str24;3;str26
179;str39;30;str8
180;str12;10;str28
181;str41;14;str36
182;str49;8;str4
183;str46;43;str2
184;str9;41;str19
185;str22;1;str3
186;str9;48;str48
187;str31;8;str42
188;str12;32;str17
189;str10;34;str23
190;str2;42;str34
191;str5;9;str8
192;str34;3;str32
193;str13;34;str46
194;str19;26;str41
195;str28;40;str31
196;str50;35;str36
197;str28;39;str25
198;str18;11;str49
199;str46;22;str6
200;str37;42;str9
201;str4;30;str22
202;str9;24;str18
203;str1;11;str22
204;str15;16;str1
205;str33;28;str46
206;str11;24;str43
207;str42;38;str37
208;str25;38;str13
209;str38;16;str2
210;str26;48;str22
211;str27;6;str45
212;str48;8;str48
213;str20;17;str46
214;str30;25;str12
215;str33;29;str34
216;str42;39;str42
217;str33;7;str21
218;str29;11;str6
219;str38;6;str2
220;str46;6;str50
221;str46;16;str39
222;str33;43;str10
223;str34;49;str17
224;str34;1;str34
225;str12;5;str18
226;str11;33;str12
227;str34;1;str40
228;str13;26;str31
229;str31;3;str40
230;str15;24;str14
231;str25;31;str31
232;str25;31;str46
233;str8;44;str34
234;str35;45;str34
235;str30;21;str22
236;str37;9;str17
237;str42;23;str39
238;str37;27;str27
239;str43;13;str30
240;str47;46;str40
241;str23;43;str22
242;str46;17;str11
243;str45;7;str49
244;str26;38;str39
245;str38;32;str7
246;str31;44;str20
247;str40;32;str38
248;str39;42;str1
249;str36;32;str15
250;str10;23;str8
251;str8;37;str28
252;str12;23;str23
253;str34;11;str20
254;str13;12;str30
255;str2;8;str15
256;str3;18;str30
257;str7;29;str16
258;str30;28;str18
259;str8;7;str44
260;str13;5;str26
261;str32;1;str31
262;str49;38;str2
263;str38;2;str4
264;str43;35;str7
265;str27;8;str26
266;str24;5;str16
267;str2;25;str35
268;str44;46;str36
269;str23;1;str43
270;str30;7;str6
271;str4;10;str40
272;str48;5;str17
273;str39;20;str24
274;str48;28;str44
275;str23;16;str4
276;str10;34;str25
277;str13;19;str8
278;str31;45;str23
279;str37;45;str9
280;str20;48;str42
281;str20;50;str33
282;str45;30;str11
283;str27;25;str9
284;str12;10;str43
285;str45;6;str29
286;str38;13;str14
287;str6;29;str2
288;str44;23;str4
289;str49;14;str49
290;str6;14;str43
