1;str49;18;str44;42
2;str31;38;str3;4
3;str14;46;str30;45
4;str21;19;str28;24
5;str21;49;str8;29
6;str36;27;str5;28
7;str31;36;str36;10
8;str41;13;str44;4
9;str42;32;str16;21
10;str6;29;str21;41
11;str32;4;str10;4
12;str33;32;str42;45
13;str22;44;str30;7
14;str1;21;str35;5
15;str41;37;str27;44
16;str29;14;str22;23
17;str20;9;str8;20
18;str34;26;str48;11
19;str7;36;str50;36
20;str27;48;str6;24
21;str1;50;str41;39
22;str29;22;str42;32
23;str41;13;str39;17
24;str25;33;str37;19
25;str31;30;str14;21
26;str50;9;str22;48
27;str28;14;str25;5
28;str13;50;str47;20
29;str24;11;str14;45
30;str20;23;str31;2
31;str40;21;str4;44
32;str45;7;str44;27
33;str48;4;str27;38
34;str9;13;str4;21
35;str45;3;str33;4
36;str13;37;str45;8
37;str25;10;str18;47
38;str4;10;str50;38
39;str9;13;str23;32
40;str9;43;str34;39
41;str44;5;str16;9
42;str39;17;str34;14
43;str8;6;str39;45
44;str21;10;str34;7
45;str8;28;str25;12
46;str42;41;str28;5
47;str12;8;str21;6
48;str26;1;str44;7
49;str2;37;str10;42
50;str14;44;str30;49
51;str17;41;str30;6
52;str50;45;str10;1
53;str27;32;str24;10
54;str6;19;str44;16
55;str20;17;str22;10
56;str23;14;str20;21
57;str47;35;str35;21
58;str28;1;str37;12
59;str18;21;str15;29
60;str28;30;str44;29
61;str15;47;str1;12
62;str3;35;str33;46
63;str44;43;str43;34
64;str37;32;str32;5
65;str1;29;str1;40
66;str27;28;str27;21
67;str34;2;str1;17
68;str11;11;str10;29
69;str8;1;str23;6
70;str17;17;str34;21
71;str43;43;str12;25
72;str43;17;str8;50
73;str30;38;str46;12
74;str23;14;str19;20
75;str15;40;str33;38
76;str11;27;str45;8
77;str28;20;str44;16
78;str6;13;str5;7
79;str8;26;str48;4
80;str23;33;str47;46
81;str22;49;str15;36
82;str23;2;str22;19
83;str24;34;str17;11
84;str49;9;str21;21
85;str38;19;str31;35
86;str33;46;str49;26
87;str32;13;str8;21
88;str23;21;str47;15
89;str9;10;str23;49
90;str4;44;str7;48
91;str32;19;str4;7
92;str49;16;str1;29
93;str23;34;str12;26
94;str22;11;str21;41
95;str45;3;str45;4
96;str41;50;str42;34
97;str27;36;str15;10
98;str12;19;str41;17
99;str50;13;str29;12
100;str36;15;str48;6
101;str46;1;str5;2
102;str25;1;str48;22
103;str48;25;str9;6
104;str13;44;str8;45
105;str39;3;str43;15
106;str24;3;str24;14
107;str41;1;str6;46
108;str9;43;str19;4
109;str29;4;str5;47
110;str8;3;str26;3
111;str35;23;str10;47
112;str49;44;str11;49
113;str32;19;str30;11
114;str47;20;str3;3
115;str46;18;str33;44
116;str4;30;str2;17
117;str11;34;str17;43
118;str35;50;str42;36
119;str39;40;str24;34
120;str11;43;str18;50
121;str39;3;str28;6
122;str17;36;str17;13
123;str31;11;str7;22
124;str18;2;str12;44
125;str22;15;str28;8
126;str14;23;str11;34
127;str32;31;str10;37
128;str34;35;str29;34
129;str9;47;str44;5
130;str11;40;str6;15
131;str34;41;str36;32
132;str49;13;str37;5
133;str41;20;str6;36
134;str19;35;str9;38
135;str46;28;str48;45
136;str4;9;str7;26
137;str14;14;str37;27
138;str34;11;str39;31
139;str50;48;str46;22
140;str18;1;str17;34
141;str41;27;str4;4
142;str48;40;str8;37
143;str24;46;str33;19
144;str45;33;str36;44
145;str37;37;str34;48
146;str45;14;str2;47
147;str45;3;str20;23
148;str12;6;str29;5
149;str14;7;str41;15
150;str19;4;str34;47
151;str45;8;str21;42
152;str31;41;str49;11
153;str28;10;str15;47
154;str16;4;str37;35
155;str50;20;str45;38
156;str6;30;str42;24
157;str43;37;str29;1
158;str26;48;str37;46
159;str34;5;str27;43
160;str17;7;str11;48
161;str48;33;str33;36
162;str39;46;str46;19
163;str28;17;str28;6
164;str21;13;str39;18
165;str13;3;str2;47
166;str49;39;str30;1
167;str47;13;str25;26
168;str23;25;str39;24
169;str28;28;str43;42
170;str25;24;str15;24
171;str40;11;str32;50
172;str36;10;str6;18
173;str17;32;str22;45
174;str16;38;str40;29
175;str5;37;str50;49
176;str46;33;str36;2
177;str38;31;str10;20
178;str9;26;str19;33
179;str43;7;str7;5
180;str46;9;str37;8
181;str32;4;str3;35
182;str22;44;str7;48
183;str24;16;str16;5
184;str13;27;str17;31
185;str32;27;str2;44
186;str18;27;str46;3
187;str40;12;str38;31
188;str38;38;str34;32
189;str39;6;str29;45
190;str32;48;str19;1
191;str20;4;str41;48
192;str17;30;str10;3
193;str4;26;str42;42
194;str21;16;str20;35
195;str16;18;str13;37
196;str47;18;str34;18
197;str37;47;str16;48
198;str2;15;str49;49
199;str36;9;str33;41
200;str36;32;str4;4
201;str37;12;str16;15
202;str35;11;str33;40
203;str28;39;str41;17
204;str28;28;str1;22
205;str29;46;str44;2
206;str35;8;str38;37
207;str33;14;str23;11
208;str45;31;str5;42
209;str36;16;str45;14
210;str31;25;str33;22
211;str50;38;str28;8
212;str11;37;str23;16
213;str19;46;str42;11
214;str16;29;str5;30
215;str34;1;str35;49
216;str21;30;str17;17
217;str25;21;str33;10
218;str39;13;str45;37
219;str12;12;str14;29
220;str22;25;str23;40
221;str30;22;str12;15
222;str44;41;str6;35
223;str31;26;str41;15
224;str22;11;str40;32
225;str45;38;str26;50
226;str23;27;str18;24
227;str10;38;str23;6
228;str1;14;str37;10
229;str10;36;str19;3
230;str4;39;str1;7
231;str22;45;str46;45
232;str49;14;str13;41
233;str26;41;str17;46
234;str38;5;str31;40
235;str41;38;str10;29
236;str18;37;str37;48
237;str22;49;str9;27
238;str21;46;str16;1
239;str22;30;str4;28
240;str44;44;str26;24
241;str38;10;str12;37
242;str2;8;str31;40
243;str44;9;str25;6
244;str44;39;str10;10
245;str2;12;str12;10
246;str22;27;str11;36
247;str30;1;str9;6
248;str13;44;str49;19
249;str11;3;str33;2
250;str50;42;str45;4
251;str22;42;str43;22
252;str2;41;str7;35
253;str15;19;str3;14
254;str4;11;str23;9
255;str17;35;str29;29
256;str13;4;str11;7
257;str48;12;str21;47
258;str34;44;str31;41
259;str26;36;str20;41
260;str25;11;str8;21
261;str10;3;str19;14
262;str32;25;str23;21
263;str47;28;str25;40
264;str37;50;str38;36
265;str22;16;str1;35
266;str15;25;str5;15
267;str30;46;str21;6
268;str49;21;str14;43
269;str43;35;str22;16
270;str1;32;str19;33
271;str20;21;str28;41
272;str23;24;str23;13
273;str7;21;str18;3
274;str9;13;str19;29
275;str14;42;str22;46
276;str45;49;str31;47
277;str31;25;str36;26
278;str30;21;str35;47
279;str14;50;str23;4
280;str35;11;str41;43
281;str6;27;str11;40
282;str34;38;str31;39
283;str46;43;str20;11
284;str22;35;str12;20
285;str15;45;str33;21
286;str25;26;str13;35
287;str44;35;str1;19
288;str25;31;str46;9
289;str42;14;str45;14
290;str30;12;str32;2
291;str13;3;str7;8
292;str50;29;str45;34
293;str47;2;str41;3
294;str20;33;str18;26
295;str39;45;str38;44
296;str28;15;str38;30
297;str32;34;str21;24
298;str40;43;str13;9
299;str39;41;str29;13
300;str36;7;str7;3
301;str31;16;str27;39
302;str12;26;str15;5
303;str9;41;str32;14
304;str6;26;str16;40
305;str26;4;str38;7
306;str1;49;str32;49
307;str31;41;str10;36
308;str30;26;str23;40
309;str30;36;str42;50
310;str15;10;str39;39
311;str31;32;str8;31
312;str35;42;str34;7
313;str14;2;str20;34
314;str47;5;str42;3
315;str32;23;str18;3
316;str16;27;str26;37
317;str45;38;str33;4
318;str39;2;str8;39
319;str15;22;str36;46
320;str30;46;str21;39
321;str25;34;str12;25
322;str17;48;str26;27
323;str44;46;str39;19
324;str25;18;str50;46
325;str45;33;str20;9
326;str41;16;str35;5
327;str50;17;str35;7
328;str13;3;str20;30
329;str8;15;str26;30
330;str20;39;str30;11
331;str28;5;str5;14
332;str39;14;str27;32
333;str22;8;str5;25
334;str6;14;str17;6
335;str19;44;str7;26
336;str27;43;str31;15
337;str9;17;str15;24
338;str3;46;str41;17
339;str24;23;str13;47
340;str44;20;str31;36
341;str6;13;str46;1
342;str45;6;str1;1
