1;str35;26;str37;28;str30;14;str4;7;str20;46;str42
2;str10;36;str40;45;str12;6;str13;24;str38;36;str32
3;str45;16;str43;50;str45;14;str43;10;str14;24;str28
4;str1;42;str44;8;str9;12;str27;18;str38;25;str20
5;str34;33;str46;9;str1;48;str26;34;str22;42;str50
6;str48;43;str48;20;str50;14;str13;8;str50;21;str12
7;str3;33;str6;41;str20;14;str43;40;str5;2;str27
8;str26;49;str14;44;str44;41;str33;10;str7;9;str38
9;str19;33;str1;6;str27;19;str28;23;str41;35;str45
10;str49;4;str20;9;str50;6;str45;31;str46;22;str49
11;str42;28;str28;16;str43;1;str2;33;str16;13;str45
12;str3;44;str7;48;str4;25;str22;5;str3;32;str4
13;str16;13;str24;44;str25;28;str47;21;str46;12;str8
14;str21;6;str15;34;str50;18;str25;8;str9;17;str25
15;str50;21;str36;12;str34;39;str26;26;str6;43;str25
16;str32;14;str47;40;str46;20;str14;14;str12;32;str12
17;str12;48;str38;49;str23;32;str6;28;str10;42;str4
18;str40;4;str6;36;str46;23;str48;33;str6;24;str17
19;str18;33;str17;35;str36;6;str29;22;str30;27;str25
20;str29;7;str47;4;str1;17;str48;1;str7;19;str1
21;str22;20;str43;19;str38;40;str19;1;str16;6;str39
22;str21;44;str45;2;str11;10;str45;25;str46;37;str47
23;str14;50;str38;48;str24;44;str38;46;str33;43;str48
24;str48;12;str20;25;str10;21;str33;17;str24;20;str33
25;str12;15;str34;42;str15;36;str31;25;str33;9;str25
26;str8;1;str14;33;str9;31;str31;37;str21;48;str42
27;str32;35;str17;24;str32;10;str4;17;str50;18;str45
28;str38;9;str29;28;str29;14;str16;32;str15;13;str48
29;str26;12;str29;28;str49;20;str27;36;str12;43;str15
30;str43;5;str11;36;str1;45;str41;41;str43;46;str25
31;str1;22;str43;50;str3;20;str17;39;str48;19;str19
32;str8;27;str41;17;str25;17;str3;32;str14;18;str41
33;str48;47;str32;24;str23;46;str50;33;str13;50;str34
34;str33;33;str5;22;str12;21;str29;21;str4;35;str37
35;str31;9;str18;49;str20;22;str33;20;str32;17;str21
36;str22;11;str37;37;str16;46;str15;1;str32;24;str37
37;str27;19;str13;25;str19;4;str34;6;str47;26;str28
38;str38;31;str31;28;str24;4;str28;12;str46;25;str3
39;str6;48;str24;3;str5;30;str23;14;str1;14;str1
40;str48;40;str25;29;str4;19;str7;35;str31;44;str44
41;str45;45;str16;6;str43;21;str24;32;str26;10;str30
42;str34;11;str21;9;str50;21;str36;40;str24;11;str29
