1;str15;9;str22;24;str21;7;str29;11;str45;40;str17;39;str43;23;str19;37
2;str25;43;str10;48;str8;43;str33;7;str1;20;str43;28;str27;7;str27;14
3;str35;31;str8;2;str25;1;str42;32;str40;25;str48;24;str30;20;str24;4
4;str44;43;str40;39;str39;3;str47;14;str17;44;str42;37;str41;42;str27;46
5;str42;44;str14;25;str7;23;str15;1;str44;41;str20;28;str36;4;str47;13
6;str29;3;str42;23;str50;44;str40;34;str4;28;str23;35;str32;2;str47;34
7;str47;35;str24;16;str27;28;str19;13;str30;1;str16;32;str36;1;str16;17
8;str31;9;str19;17;str17;34;str6;20;str5;22;str26;28;str31;48;str2;42
9;str36;36;str50;46;str30;35;str32;45;str36;4;str39;19;str40;26;str29;14
10;str48;41;str47;38;str13;43;str6;1;str2;22;str13;23;str35;37;str19;1
11;str33;23;str29;36;str8;12;str48;7;str28;36;str25;11;str32;34;str48;19
12;str21;42;str7;15;str12;34;str12;6;str50;23;str23;44;str9;36;str50;16
13;str19;50;str39;35;str2;26;str48;27;str11;28;str4;9;str1;29;str21;32
14;str6;1;str21;39;str36;23;str27;35;str37;35;str43;46;str21;5;str12;50
15;str19;1;str11;31;str4;11;str23;11;str36;16;str23;29;str42;47;str46;10
16;str23;4;str39;2;str37;21;str15;20;str23;12;str1;14;str38;38;str3;44
17;str22;29;str20;49;str40;44;str3;11;str10;28;str19;16;str34;7;str20;10
18;str28;28;str43;38;str33;16;str7;39;str48;45;str27;3;str50;8;str38;31
19;str40;36;str9;27;str39;10;str27;39;str17;1;str9;2;str44;3;str23;44
20;str23;15;str34;17;str25;36;str31;2;str26;24;str41;19;str24;50;str45;38
21;str5;9;str14;38;str42;41;str46;43;str33;2;str36;46;str23;46;str36;30
22;str27;17;str47;38;str15;6;str24;25;str29;42;str7;37;str1;4;str6;43
23;str3;48;str49;8;str47;26;str8;26;str49;32;str45;24;str12;35;str40;36
24;str8;25;str46;37;str43;27;str35;34;str42;13;str19;50;str17;39;str16;5
25;str36;43;str43;12;str12;37;str20;3;str20;21;str37;48;str29;13;str38;12
26;str1;30;str18;18;str2;37;str9;14;str22;11;str9;2;str49;49;str24;23
27;str17;32;str38;31;str32;31;str48;40;str4;2;str11;46;str25;35;str17;16
28;str10;23;str33;32;str34;20;str47;5;str31;24;str16;37;str13;11;str23;22
29;str45;14;str9;48;str7;49;str24;13;str36;29;str20;16;str19;23;str49;9
30;str33;9;str41;10;str20;45;str21;17;str23;46;str19;5;str32;22;str47;49
31;str49;13;str5;44;str26;13;str10;16;str5;8;str39;40;str1;19;str34;38
32;str2;14;str23;22;str5;42;str4;28;str25;23;str50;21;str49;17;str17;17
33;str1;2;str46;18;str2;5;str39;44;str20;49;str43;45;str17;43;str46;25
34;str14;18;str7;23;str48;18;str33;45;str30;47;str27;34;str18;21;str34;43
35;str43;31;str35;3;str40;30;str37;49;str32;22;str36;10;str27;12;str19;24
36;str14;3;str26;34;str10;8;str16;43;str25;34;str20;44;str17;13;str35;9
37;str3;42;str28;18;str33;17;str50;31;str6;25;str12;9;str12;23;str44;5
38;str23;32;str1;6;str21;17;str6;5;str32;40;str47;23;str26;2;str14;39
39;str19;32;str1;48;str4;24;str26;12;str39;28;str27;20;str36;13;str5;48
40;str42;17;str19;37;str31;39;str23;43;str40;45;str24;8;str35;46;str3;14
41;str34;44;str7;47;str24;4;str11;10;str16;47;str30;27;str20;3;str25;34
42;str33;9;str21;5;str14;45;str37;37;str36;36;str34;37;str28;36;str44;34
43;str21;42;str5;30;str8;21;str46;40;str39;37;str9;25;str10;14;str42;21
44;str17;39;str4;33;str20;46;str26;49;str38;21;str1;22;str28;4;str12;32
45;str50;37;str32;14;str30;22;str27;40;str36;50;str43;12;str33;44;str43;3
46;str22;47;str16;25;str48;22;str19;9;str28;3;str1;32;str4;26;str2;14
