1;string10;15;string45;42;string7;60;string32
2;string44;98;string84;63;string63;97;string85
3;string68;96;string30;23;string2;18;string83
4;string94;60;string60;94;string56;78;string79
5;string23;91;string46;78;string3;60;string34
6;string87;51;string54;26;string11;49;string21
7;string32;90;string47;20;string81;84;string66
8;string47;37;string81;87;string9;12;string78
9;string67;53;string73;28;string11;23;string94
10;string42;51;string53;78;string93;93;string33
11;string19;74;string99;11;string12;52;string28
12;string55;84;string7;58;string81;93;string1
13;string4;54;string48;60;string90;75;string7
14;string52;31;string83;28;string88;69;string82
15;string61;56;string21;56;string40;57;string87
16;string45;7;string80;26;string50;19;string31
17;string40;78;string54;41;string7;32;string75
18;string85;51;string7;46;string61;9;string6
19;string21;85;string9;96;string94;55;string25
20;string40;19;string70;95;string2;35;string19
21;string37;36;string0;19;string20;9;string55
22;string41;60;string90;34;string92;38;string84
23;string20;43;string25;84;string94;93;string89
24;string68;36;string21;93;string94;31;string74
25;string40;82;string30;8;string36;42;string29
26;string19;23;string7;14;string2;29;string20
27;string17;10;string54;86;string97;95;string88
28;string18;58;string96;80;string56;69;string18
29;string25;67;string97;1;string38;58;string23
30;string56;40;string0;1;string87;68;string99
31;string55;47;string17;15;string21;80;string86
32;string5;34;string82;34;string62;31;string4
33;string75;40;string38;96;string43;64;string53
34;string36;94;string94;70;string93;48;string41
35;string21;56;string95;14;string56;46;string11
36;string38;71;string59;72;string53;87;string38
37;string2;13;string51;32;string94;49;string61
38;string63;78;string35;56;string74;38;string11
39;string8;36;string39;46;string80;13;string5
40;string47;95;string39;10;string29;28;string9
41;string56;71;string80;78;string21;28;string70
42;string9;0;string78;61;string82;32;string7
43;string80;38;string39;94;string31;59;string82
44;string3;24;string37;52;string35;35;string8
45;string93;16;string88;33;string94;61;string24
46;string41;48;string90;99;string40;48;string95
47;string96;84;string85;80;string64;98;string34
48;string20;32;string97;91;string35;55;string9
49;string46;85;string24;46;string2;22;string61
50;string77;16;string82;39;string68;50;string43
51;string42;82;string76;72;string39;13;string99
52;string13;60;string42;57;string76;67;string62
53;string45;89;string75;6;string28;12;string65
54;string24;88;string62;90;string35;25;string69
55;string53;41;string71;25;string18;34;string27
56;string86;38;string95;94;string66;34;string89
57;string35;17;string30;7;string61;38;string12
58;string11;80;string96;20;string36;25;string6
59;string13;82;string5;43;string48;31;string2
60;string94;57;string66;84;string2;67;string31
61;string19;27;string46;5;string40;88;string97
62;string1;88;string60;88;string34;74;string53
63;string35;71;string15;35;string17;7;string82
64;string53;60;string43;61;string87;80;string96
65;string1;51;string22;26;string40;93;string36
66;string98;7;string79;23;string87;22;string6
67;string50;51;string18;48;string0;11;string26
68;string33;14;string48;93;string61;12;string34
69;string40;51;string8;78;string89;46;string46
70;string69;39;string11;48;string47;28;string24
71;string14;3;string44;20;string40;91;string72
72;string37;15;string93;43;string68;30;string89
73;string1;9;string57;67;string1;90;string22
74;string19;58;string93;94;string30;7;string13
75;string18;87;string62;9;string42;25;string4
