1;str38;30
2;str37;15
3;str16;10
4;str22;42
5;str45;10
6;str14;20
7;str42;43
8;str1;40
9;str42;2
10;str16;37
11;str26;43
12;str30;6
13;str15;14
14;str35;42
15;str25;32
16;str35;44
17;str10;26
18;str11;44
19;str29;6
20;str41;15
21;str35;5
22;str26;8
23;str43;28
24;str42;7
25;str50;13
26;str29;30
27;str39;3
28;str33;40
29;str13;18
30;str3;21
31;str25;7
32;str1;46
33;str13;4
34;str39;50
35;str46;9
36;str11;42
37;str35;32
38;str2;35
39;str43;2
40;str18;49
41;str13;3
42;str4;30
43;str13;39
44;str28;19
45;str30;9
46;str25;34
47;str40;13
48;str48;30
49;str45;38
50;str4;13
51;str11;12
52;str9;19
53;str6;47
54;str24;38
55;str28;14
56;str34;3
57;str19;45
58;str31;39
59;str28;29
60;str13;18
61;str46;38
62;str20;30
63;str42;32
64;str33;27
65;str2;33
66;str26;31
67;str6;3
68;str31;8
69;str47;18
70;str31;41
71;str28;38
72;str18;16
73;str42;7
74;str47;22
75;str3;45
76;str21;24
77;str49;25
78;str12;20
79;str10;25
80;str12;4
81;str11;30
82;str1;22
83;str35;46
84;str9;6
85;str11;2
86;str32;25
87;str5;6
88;str17;49
89;str22;46
90;str44;40
91;str18;32
92;str40;10
93;str5;5
94;str19;19
95;str14;24
96;str26;3
97;str14;16
98;str34;20
99;str21;18
100;str3;26
101;str13;35
102;str48;8
103;str41;19
104;str44;50
105;str11;37
106;str46;13
107;str33;38
108;str24;5
109;str48;27
110;str23;45
111;str41;6
112;str31;18
113;str45;49
114;str49;41
115;str10;9
116;str10;50
117;str48;3
118;str41;18
119;str9;36
120;str23;33
121;str13;6
122;str25;10
123;str46;48
124;str30;42
125;str26;18
126;str11;32
127;str36;1
128;str46;34
129;str27;6
130;str16;11
131;str40;3
132;str15;18
133;str41;12
134;str40;33
135;str41;23
136;str49;14
137;str42;10
138;str5;17
139;str33;45
140;str16;23
141;str25;7
142;str34;7
143;str40;49
144;str14;19
145;str14;12
146;str40;38
147;str21;49
148;str49;3
149;str34;22
150;str21;1
151;str46;44
152;str45;34
153;str38;5
154;str27;33
155;str48;18
156;str35;46
157;str30;45
158;str37;38
159;str29;2
160;str13;13
161;str35;26
162;str32;11
163;str18;7
164;str33;35
165;str2;21
166;str28;20
167;str26;32
168;str38;48
169;str6;1
170;str9;18
171;str15;44
172;str15;12
173;str36;44
174;str18;1
175;str22;49
176;str20;27
177;str38;49
178;str2;20
179;str41;26
180;str41;3
181;str21;29
182;str10;22
183;str44;47
184;str26;14
185;str42;48
186;str24;33
187;str48;47
188;str8;40
189;str16;42
190;str9;3
191;str47;44
192;str44;48
193;str4;47
194;str18;8
195;str38;22
196;str48;35
197;str34;16
198;str19;25
199;str38;19
200;str18;2
201;str18;12
202;str31;9
203;str28;18
204;str12;5
205;str25;21
206;str23;50
207;str40;19
208;str38;1
209;str29;43
210;str16;2
211;str1;42
212;str9;33
213;str2;8
214;str47;42
215;str5;3
216;str30;30
217;str10;50
218;str21;45
219;str44;41
220;str9;35
221;str49;16
222;str36;16
223;str46;31
224;str45;17
225;str33;41
226;str38;33
227;str14;6
228;str4;23
229;str13;2
230;str41;11
231;str5;29
232;str18;36
233;str48;5
234;str25;14
235;str2;17
236;str18;27
237;str15;5
238;str20;19
239;str21;7
240;str28;12
241;str8;34
242;str28;31
243;str22;1
244;str5;31
245;str37;43
246;str21;21
247;str21;9
248;str15;3
249;str29;26
250;str50;13
251;str28;36
252;str7;45
253;str38;22
254;str48;28
255;str21;43
256;str25;35
257;str7;45
258;str45;48
259;str49;42
260;str26;36
261;str40;40
262;str6;2
263;str23;19
264;str40;7
265;str33;22
266;str30;18
267;str32;12
268;str45;27
269;str37;29
270;str9;34
271;str7;14
272;str32;14
273;str43;50
274;str26;10
275;str38;10
276;str47;40
277;str3;2
278;str9;47
279;str12;41
280;str24;46
281;str21;4
282;str14;8
283;str22;14
284;str30;36
285;str8;40
286;str6;6
287;str44;44
288;str16;2
289;str30;30
290;str18;11
291;str19;23
292;str36;43
293;str35;9
294;str13;46
295;str40;40
296;str33;25
297;str12;38
298;str17;17
299;str13;44
300;str15;26
301;str15;12
302;str45;21
303;str44;39
304;str42;40
305;str3;11
306;str8;37
307;str29;3
308;str36;10
309;str25;38
310;str36;43
311;str22;49
312;str35;39
313;str5;50
314;str16;13
315;str19;32
316;str44;14
317;str27;12
318;str4;2
319;str29;36
320;str8;40
321;str16;25
322;str1;7
323;str32;19
324;str13;21
325;str29;9
326;str27;19
327;str32;1
328;str1;8
329;str48;42
330;str9;16
331;str47;35
332;str29;7
333;str28;11
334;str7;2
335;str46;42
336;str26;34
337;str43;31
338;str27;35
339;str30;15
340;str23;47
341;str39;38
342;str32;31
343;str50;30
344;str48;7
345;str21;17
346;str37;1
347;str34;33
348;str34;9
349;str3;37
350;str41;35
351;str15;3
352;str5;26
353;str29;46
354;str48;12
355;str48;25
356;str15;25
357;str10;32
358;str6;11
359;str49;32
360;str11;4
361;str9;1
362;str10;42
363;str48;45
364;str21;33
365;str40;47
366;str49;49
367;str21;4
368;str5;9
369;str40;1
370;str35;50
371;str20;12
372;str41;47
373;str23;48
374;str23;15
375;str45;50
376;str2;49
377;str48;24
378;str43;49
379;str2;14
380;str40;49
381;str48;47
382;str19;48
383;str40;27
384;str40;28
385;str33;3
386;str1;4
387;str29;5
388;str12;32
389;str40;2
390;str38;43
391;str32;28
392;str38;40
393;str29;17
394;str6;15
395;str49;45
396;str11;38
397;str15;6
398;str18;16
399;str27;28
400;str11;38
401;str6;30
402;str6;32
403;str7;21
404;str35;1
405;str48;50
406;str11;46
407;str12;25
408;str47;38
409;str9;6
410;str44;6
411;str12;49
412;str5;41
413;str46;3
414;str7;41
415;str21;40
416;str5;21
417;str19;8
418;str47;14
419;str13;37
420;str42;6
421;str33;23
422;str19;13
423;str3;16
424;str29;25
425;str9;47
426;str48;8
427;str25;7
428;str37;15
429;str38;1
430;str28;49
431;str3;31
432;str39;34
433;str45;44
434;str26;20
435;str46;11
436;str19;37
437;str47;47
438;str19;17
439;str48;17
440;str19;17
441;str2;1
442;str13;31
443;str34;44
444;str27;19
445;str2;24
446;str26;34
447;str18;30
448;str5;36
449;str25;23
450;str44;23
451;str49;22
452;str43;45
453;str40;24
454;str45;26
455;str15;5
456;str32;33
457;str22;11
458;str49;16
459;str14;38
460;str18;46
461;str7;28
462;str33;27
463;str25;15
464;str11;39
465;str11;38
466;str50;38
467;str4;22
468;str25;19
469;str7;8
470;str32;43
471;str34;19
472;str2;30
473;str50;9
474;str42;24
475;str15;39
476;str20;17
477;str50;40
478;str25;2
479;str19;43
480;str1;18
481;str16;17
482;str49;18
483;str8;50
484;str42;30
485;str46;30
486;str43;6
487;str41;32
488;str39;43
489;str49;3
490;str26;5
491;str44;35
492;str2;39
493;str6;46
494;str26;27
495;str30;46
496;str14;35
497;str9;39
498;str2;47
499;str44;39
500;str49;50
501;str43;4
502;str12;34
503;str8;16
504;str32;9
505;str26;40
506;str13;13
507;str42;29
508;str45;42
509;str37;31
510;str26;1
511;str3;24
512;str29;23
513;str28;25
514;str48;24
515;str4;34
516;str39;47
517;str50;9
518;str28;11
519;str19;31
520;str43;46
521;str34;33
522;str1;9
523;str27;37
524;str26;3
525;str16;49
526;str10;35
527;str50;1
528;str33;16
529;str5;26
530;str42;15
531;str18;8
532;str10;2
533;str27;34
534;str42;32
535;str38;45
536;str9;37
537;str39;6
538;str16;12
539;str35;4
540;str2;49
541;str49;47
542;str20;16
543;str30;18
544;str48;9
545;str48;1
546;str12;31
547;str47;14
548;str29;30
549;str44;14
550;str15;50
551;str25;27
552;str28;34
553;str46;28
554;str36;36
555;str7;29
556;str16;6
557;str45;49
558;str14;38
559;str37;40
560;str25;16
561;str4;42
562;str23;2
563;str24;39
