1;string29;76;string20;40;string81;83
2;string48;47;string26;95;string11;45
3;string85;99;string5;33;string29;85
4;string68;63;string37;41;string90;97
5;string94;52;string75;74;string60;76
6;string36;60;string87;75;string80;45
7;string86;29;string10;30;string46;40
8;string46;58;string99;14;string56;59
9;string36;67;string18;2;string48;5
10;string75;47;string41;64;string8;21
11;string53;92;string43;19;string24;15
12;string23;47;string60;57;string82;12
13;string37;36;string66;82;string53;73
14;string23;21;string91;85;string36;84
15;string30;68;string78;3;string60;75
16;string63;26;string35;73;string92;96
17;string93;0;string35;72;string54;26
18;string66;51;string31;62;string12;59
19;string69;96;string81;77;string32;88
20;string51;76;string72;18;string34;44
21;string0;54;string58;68;string76;82
22;string48;2;string90;93;string32;36
23;string26;31;string37;61;string82;35
24;string1;61;string96;47;string68;56
25;string60;39;string19;20;string86;60
26;string31;46;string49;35;string99;33
27;string97;70;string77;0;string33;45
28;string35;70;string58;3;string34;58
29;string96;55;string47;20;string21;64
30;string47;83;string60;78;string40;42
31;string99;94;string96;23;string44;47
32;string96;19;string11;62;string76;31
33;string6;81;string49;55;string84;82
34;string3;76;string83;52;string41;44
35;string23;5;string93;11;string65;91
36;string60;43;string69;78;string11;90
37;string33;1;string99;47;string17;12
38;string82;83;string50;70;string33;76
39;string79;10;string84;59;string59;25
40;string7;17;string20;37;string37;58
41;string62;68;string22;33;string24;86
42;string73;87;string16;99;string92;97
43;string81;42;string52;32;string20;43
44;string27;63;string22;21;string15;7
45;string79;54;string47;2;string40;61
46;string48;97;string21;91;string58;66
47;string33;61;string81;97;string78;14
48;string75;24;string52;75;string82;79
49;string98;61;string46;58;string3;1
50;string75;82;string64;11;string5;26
51;string54;51;string85;20;string27;22
52;string96;92;string11;4;string38;8
53;string0;81;string50;17;string15;61
54;string13;73;string9;12;string31;26
55;string29;6;string93;59;string41;19
56;string59;73;string75;58;string91;21
57;string99;83;string53;31;string50;72
58;string36;69;string7;62;string14;47
59;string65;35;string99;66;string89;98
60;string72;53;string47;8;string52;79
61;string87;78;string8;65;string7;21
62;string43;21;string88;67;string46;81
63;string74;97;string72;91;string1;23
64;string36;68;string88;14;string78;20
65;string2;6;string90;49;string17;96
66;string4;85;string49;79;string46;64
67;string90;99;string45;16;string21;65
68;string19;29;string47;87;string56;10
69;string23;99;string11;84;string49;33
70;string49;43;string33;45;string60;77
71;string2;75;string40;57;string36;18
72;string49;88;string19;87;string30;43
73;string56;67;string70;75;string12;59
74;string32;43;string44;90;string72;28
75;string84;99;string54;80;string40;30
76;string29;39;string95;33;string64;93
77;string87;91;string64;88;string58;18
78;string21;89;string56;21;string23;25
79;string61;6;string45;21;string80;26
80;string3;45;string69;6;string67;3
81;string30;68;string53;64;string67;32
82;string64;0;string90;57;string67;6
83;string35;33;string45;36;string25;32
84;string19;72;string84;75;string24;35
85;string71;18;string87;10;string60;26
86;string35;81;string71;33;string33;85
87;string0;6;string66;11;string73;6
88;string69;81;string62;4;string79;13
89;string54;91;string81;90;string16;8
90;string92;66;string40;91;string94;89
91;string67;59;string43;85;string44;71
92;string15;36;string2;82;string16;77
