1;str13;30;str12;29;str13;45;str1;20;str42
2;str19;40;str9;44;str5;18;str30;29;str38
3;str10;22;str4;43;str50;3;str18;12;str8
4;str11;4;str22;1;str13;41;str38;34;str42
5;str40;23;str32;6;str15;12;str27;26;str14
6;str16;6;str32;30;str6;6;str40;44;str23
7;str13;31;str29;10;str13;16;str6;17;str21
8;str13;41;str47;50;str37;22;str22;7;str46
9;str36;26;str50;16;str37;14;str41;7;str23
10;str44;16;str25;33;str22;19;str40;5;str23
11;str42;11;str45;3;str34;29;str30;7;str14
12;str29;45;str17;20;str13;6;str27;34;str35
13;str33;24;str46;36;str5;30;str37;12;str41
14;str36;39;str23;26;str19;11;str50;26;str20
15;str5;32;str46;27;str29;16;str20;30;str44
16;str39;5;str43;32;str3;18;str50;47;str32
17;str6;10;str19;1;str5;48;str50;5;str30
18;str45;21;str43;46;str22;16;str43;24;str34
19;str42;50;str49;27;str29;22;str40;39;str22
20;str8;41;str35;7;str26;48;str14;26;str17
21;str8;5;str3;37;str3;20;str44;13;str26
22;str39;4;str12;20;str40;22;str39;4;str40
23;str11;15;str15;7;str25;6;str39;46;str24
24;str21;21;str26;18;str20;34;str28;49;str9
25;str32;1;str5;6;str24;15;str48;48;str27
26;str43;41;str1;30;str21;45;str21;3;str41
27;str24;21;str50;9;str42;29;str34;9;str24
28;str50;1;str39;2;str44;44;str48;8;str40
29;str16;1;str44;24;str43;12;str31;29;str3
30;str13;34;str23;20;str17;12;str18;30;str14
31;str47;19;str10;30;str8;27;str38;27;str28
32;str35;48;str8;22;str39;42;str19;34;str37
33;str44;38;str42;35;str12;21;str34;43;str11
34;str23;35;str40;2;str44;22;str44;25;str1
35;str42;33;str24;5;str11;28;str8;32;str8
36;str7;19;str17;18;str19;39;str32;41;str15
37;str2;3;str44;8;str4;4;str42;39;str23
38;str22;30;str32;23;str49;3;str31;6;str14
39;str16;20;str19;19;str13;10;str16;15;str31
40;str30;35;str1;35;str21;36;str35;9;str34
41;str12;49;str19;17;str28;11;str43;14;str22
42;str20;29;str15;22;str20;47;str32;29;str3
43;str13;38;str23;45;str21;30;str29;4;str42
