1;str3;35;str12;30;str39;4;str28;16;str33;36;str36;18;str2;11;str7
2;str38;12;str44;8;str13;49;str30;20;str23;40;str50;24;str34;8;str12
3;str16;11;str28;32;str9;37;str33;5;str10;4;str14;6;str16;11;str37
4;str50;7;str34;37;str18;25;str18;24;str14;13;str23;7;str37;21;str27
5;str49;8;str28;45;str14;26;str11;25;str31;42;str18;46;str35;16;str27
6;str18;3;str19;47;str6;43;str23;18;str18;50;str10;43;str26;28;str40
7;str10;35;str17;6;str19;39;str3;28;str40;35;str3;16;str5;24;str23
8;str32;32;str18;16;str35;13;str1;31;str5;5;str37;38;str36;4;str35
9;str1;1;str20;14;str8;5;str2;7;str9;40;str13;3;str1;15;str50
10;str47;16;str30;26;str29;12;str5;9;str36;49;str22;26;str21;18;str15
11;str44;40;str10;2;str16;39;str36;13;str24;41;str36;26;str49;5;str33
12;str39;27;str46;7;str37;12;str25;12;str21;34;str38;49;str28;35;str42
13;str6;37;str34;5;str50;23;str19;46;str45;26;str46;35;str46;34;str15
14;str34;10;str35;13;str10;2;str34;18;str46;33;str17;28;str31;12;str25
15;str33;41;str12;42;str3;32;str1;46;str7;26;str4;5;str11;25;str27
16;str15;9;str15;5;str6;15;str21;8;str16;18;str1;47;str24;9;str47
17;str13;24;str39;19;str31;44;str18;47;str24;42;str37;3;str32;48;str28
18;str2;21;str8;14;str44;40;str3;2;str6;28;str5;23;str35;12;str15
19;str7;13;str17;40;str10;48;str35;7;str6;15;str11;46;str17;16;str34
20;str3;14;str22;35;str8;22;str18;34;str2;46;str16;39;str21;35;str49
21;str25;50;str30;15;str38;38;str49;44;str46;7;str36;13;str5;45;str31
22;str24;25;str6;20;str17;4;str40;32;str19;44;str32;9;str30;48;str26
23;str46;1;str1;44;str45;45;str2;34;str43;47;str3;10;str27;30;str46
24;str2;11;str36;5;str26;18;str41;49;str5;39;str13;49;str18;20;str14
25;str13;44;str50;28;str26;37;str46;49;str33;7;str26;32;str23;32;str8
26;str9;49;str7;44;str37;48;str50;31;str50;20;str19;49;str6;20;str21
27;str8;4;str24;6;str31;16;str19;25;str12;46;str39;5;str21;4;str48
28;str40;11;str37;15;str29;6;str42;18;str17;19;str36;48;str4;38;str29
29;str15;23;str12;36;str24;48;str8;35;str28;29;str25;38;str41;5;str32
30;str10;7;str16;47;str1;2;str33;2;str15;42;str7;17;str3;4;str13
31;str42;2;str38;22;str42;9;str4;16;str44;6;str45;32;str33;6;str6
32;str14;39;str39;10;str24;48;str47;8;str8;26;str41;38;str4;4;str5
33;str48;1;str35;40;str16;46;str33;38;str20;3;str28;3;str15;20;str44
34;str19;24;str34;25;str43;15;str17;16;str47;36;str16;43;str11;4;str36
35;str36;34;str37;37;str49;36;str6;8;str45;12;str20;30;str34;46;str2
36;str7;44;str24;21;str37;22;str8;36;str15;26;str12;3;str32;44;str45
37;str6;49;str16;9;str28;7;str41;20;str10;38;str18;3;str35;32;str5
38;str43;46;str21;17;str10;28;str46;9;str20;23;str8;22;str23;3;str22
39;str4;29;str48;26;str46;39;str35;17;str17;27;str29;2;str44;36;str41
40;str6;15;str17;44;str2;10;str24;21;str19;8;str49;47;str38;20;str22
41;str18;33;str9;22;str23;22;str36;40;str28;7;str20;10;str25;12;str47
42;str36;48;str1;2;str36;19;str22;45;str23;11;str25;34;str27;48;str13
43;str7;30;str36;12;str16;33;str42;49;str8;46;str40;24;str29;40;str26
44;str50;4;str38;20;str18;22;str47;31;str46;41;str3;34;str47;24;str18
45;str35;44;str50;46;str50;40;str11;27;str16;44;str49;3;str45;17;str12
46;str26;13;str28;42;str1;50;str19;28;str31;45;str39;47;str41;8;str12
47;str45;1;str31;29;str16;14;str38;26;str26;31;str39;41;str46;18;str19
48;str31;14;str36;3;str36;4;str34;11;str40;5;str46;22;str37;45;str45
49;str29;33;str7;45;str21;4;str49;30;str48;42;str3;12;str28;38;str21
50;str46;25;str6;22;str28;3;str19;5;str31;34;str26;48;str17;12;str10
51;str35;30;str41;13;str8;6;str8;5;str33;3;str7;20;str12;41;str10
52;str12;50;str24;42;str20;21;str26;21;str8;21;str8;44;str43;36;str38
53;str24;3;str4;35;str38;5;str7;32;str35;26;str28;3;str39;19;str23
54;str40;7;str42;34;str50;19;str5;50;str48;50;str42;1;str28;35;str11
55;str36;32;str50;8;str33;46;str36;22;str5;8;str36;11;str18;44;str2
56;str46;34;str27;16;str6;4;str37;23;str40;38;str47;31;str13;48;str40
57;str36;19;str29;22;str32;40;str23;34;str45;45;str42;28;str29;26;str7
58;str41;29;str3;29;str20;15;str44;47;str47;32;str17;40;str47;45;str39
59;str23;26;str22;3;str39;44;str5;50;str3;3;str43;39;str3;16;str7
60;str36;39;str10;38;str12;6;str6;34;str34;37;str5;19;str38;13;str48
61;str38;1;str33;48;str7;3;str33;30;str49;18;str2;40;str29;38;str7
62;str17;10;str40;2;str23;31;str47;37;str24;7;str18;11;str40;15;str48
63;str17;3;str13;4;str24;4;str28;40;str28;25;str14;21;str48;21;str9
64;str11;24;str13;40;str30;46;str32;31;str41;35;str17;8;str40;47;str38
65;str34;42;str11;26;str32;19;str12;37;str27;2;str39;41;str50;35;str4
66;str43;48;str41;4;str8;9;str6;19;str46;16;str21;16;str8;26;str30
67;str34;8;str23;8;str42;20;str42;5;str3;47;str6;34;str33;49;str20
68;str28;42;str24;50;str5;27;str38;8;str20;8;str20;34;str18;17;str25
69;str30;22;str37;13;str45;1;str23;46;str30;37;str22;14;str49;17;str48
70;str43;23;str45;48;str44;9;str1;4;str45;35;str35;22;str46;38;str29
71;str30;24;str47;47;str16;49;str37;49;str7;26;str1;8;str2;33;str23
72;str31;18;str12;3;str46;19;str8;26;str29;45;str47;32;str23;22;str16
73;str1;50;str10;7;str31;9;str31;20;str10;12;str20;1;str35;22;str11
74;str21;2;str35;41;str45;33;str9;18;str40;6;str32;18;str3;5;str42
75;str33;10;str31;10;str47;33;str36;30;str16;30;str46;13;str15;33;str9
76;str17;30;str1;33;str10;44;str27;30;str37;29;str50;46;str45;44;str46
77;str11;45;str50;43;str17;20;str48;41;str21;14;str41;23;str37;19;str11
78;str13;12;str20;43;str21;30;str6;40;str43;12;str8;22;str50;29;str19
79;str20;14;str4;21;str30;14;str6;45;str34;19;str50;13;str12;33;str30
80;str18;44;str46;5;str4;50;str42;18;str37;37;str43;12;str3;42;str33
81;str32;17;str26;6;str19;42;str1;28;str38;17;str42;39;str15;33;str23
82;str32;28;str16;2;str4;7;str19;36;str47;8;str28;32;str40;33;str24
83;str2;49;str50;23;str33;11;str44;17;str27;37;str43;5;str44;40;str14
84;str1;25;str27;43;str43;41;str18;19;str36;17;str32;29;str39;20;str23
85;str6;18;str46;24;str49;37;str36;38;str17;2;str37;32;str5;1;str22
86;str25;33;str27;22;str28;8;str46;44;str45;34;str22;24;str42;14;str44
87;str46;49;str46;41;str14;30;str29;46;str41;24;str41;12;str6;17;str6
88;str27;34;str31;35;str32;12;str9;50;str17;35;str6;37;str14;50;str22
89;str3;8;str12;10;str27;33;str42;18;str23;32;str19;13;str39;27;str49
90;str19;8;str47;34;str23;43;str25;2;str14;21;str8;19;str19;49;str25
91;str3;22;str19;27;str11;40;str36;42;str5;24;str45;37;str14;49;str42
92;str26;14;str43;13;str17;47;str35;4;str29;1;str18;30;str12;33;str39
93;str43;33;str13;8;str15;5;str23;24;str45;30;str8;20;str17;20;str45
94;str4;28;str18;3;str14;46;str1;38;str40;7;str3;25;str14;50;str29
95;str26;13;str3;1;str23;28;str3;2;str47;37;str18;2;str4;8;str4
96;str7;18;str45;38;str18;2;str16;42;str42;28;str11;8;str4;8;str36
97;str5;19;str33;1;str28;3;str22;44;str16;3;str31;1;str5;21;str13
98;str3;28;str46;13;str40;35;str41;43;str45;42;str6;28;str22;49;str37
99;str24;15;str36;28;str44;6;str45;48;str19;4;str20;29;str32;13;str46
100;str38;16;str46;48;str31;15;str4;8;str12;36;str18;7;str7;32;str44
101;str28;12;str2;23;str33;17;str8;14;str29;4;str36;25;str45;18;str25
102;str22;19;str46;31;str8;4;str36;39;str37;40;str15;25;str7;6;str31
103;str20;32;str45;18;str42;40;str18;14;str1;45;str16;47;str20;12;str45
104;str2;42;str6;43;str37;37;str8;20;str40;21;str5;20;str48;48;str21
105;str3;36;str38;40;str21;40;str11;34;str4;36;str39;40;str2;27;str5
106;str48;49;str17;24;str18;47;str7;37;str17;44;str13;5;str41;50;str40
107;str49;14;str30;30;str6;27;str30;5;str21;3;str18;24;str8;5;str48
108;str41;14;str38;33;str11;19;str13;50;str1;19;str7;27;str40;7;str12
109;str44;5;str23;13;str39;3;str7;12;str16;12;str41;17;str24;1;str38
110;str44;10;str49;36;str6;18;str23;49;str36;13;str46;50;str30;28;str17
111;str35;9;str26;41;str18;28;str16;9;str4;10;str29;17;str15;18;str31
112;str11;6;str28;41;str35;20;str23;48;str30;41;str41;20;str3;17;str31
113;str6;16;str37;18;str35;20;str36;1;str50;5;str1;48;str12;15;str17
114;str9;33;str11;35;str35;3;str49;35;str31;26;str14;25;str32;19;str8
115;str42;28;str34;45;str29;10;str44;32;str33;33;str10;15;str31;5;str41
116;str5;40;str28;33;str33;49;str49;46;str12;7;str15;29;str30;24;str43
117;str37;41;str40;36;str28;30;str35;43;str35;46;str23;38;str7;29;str49
118;str2;8;str33;16;str12;33;str4;43;str1;4;str42;20;str24;38;str42
119;str24;28;str44;34;str48;47;str10;45;str29;13;str37;31;str40;10;str30
120;str24;21;str26;23;str16;39;str28;41;str3;38;str42;16;str19;23;str44
121;str45;14;str14;39;str41;32;str48;50;str30;44;str24;32;str31;46;str14
122;str21;26;str44;18;str10;46;str28;26;str47;13;str11;39;str43;9;str42
123;str42;9;str21;42;str10;26;str43;6;str6;21;str43;5;str4;48;str26
124;str48;7;str26;34;str9;1;str35;10;str26;35;str5;49;str2;31;str38
125;str37;1;str21;11;str7;44;str38;14;str24;31;str26;2;str24;2;str49
126;str1;19;str48;6;str37;49;str9;22;str1;32;str28;15;str28;2;str42
127;str27;21;str3;2;str47;28;str10;38;str38;15;str8;39;str46;20;str39
128;str4;6;str3;1;str11;50;str25;9;str27;35;str19;31;str26;20;str36
129;str23;43;str28;48;str47;50;str28;21;str34;33;str9;39;str10;32;str48
130;str2;10;str48;33;str26;41;str9;13;str2;37;str49;7;str20;32;str4
131;str42;8;str37;49;str7;6;str17;17;str49;42;str40;17;str31;42;str9
132;str33;22;str50;48;str47;5;str3;25;str30;38;str6;23;str32;48;str13
133;str43;44;str42;14;str7;48;str49;31;str23;15;str9;18;str26;3;str46
134;str47;30;str2;12;str18;40;str6;15;str46;12;str21;21;str33;33;str26
135;str19;39;str15;15;str38;27;str9;31;str46;13;str41;41;str23;31;str9
136;str31;44;str19;40;str45;40;str46;12;str19;38;str17;44;str40;18;str24
137;str10;17;str24;17;str39;32;str29;18;str3;21;str26;38;str32;19;str33
138;str22;30;str37;17;str43;14;str50;44;str44;27;str28;36;str37;21;str45
139;str29;11;str2;25;str29;41;str29;40;str43;41;str34;15;str39;3;str22
140;str43;30;str10;6;str18;36;str10;3;str47;41;str8;36;str35;48;str20
