1;str46;9;str45;1;str48;21;str6;4;str14;28
2;str22;17;str24;11;str16;17;str46;28;str37;8
3;str11;32;str38;1;str17;37;str24;43;str26;22
4;str48;22;str34;12;str7;43;str19;47;str36;21
5;str46;48;str22;48;str13;21;str26;28;str37;39
6;str23;35;str32;27;str10;31;str24;45;str10;48
7;str50;30;str22;45;str32;50;str45;16;str1;21
8;str39;40;str23;11;str25;23;str9;37;str29;50
9;str40;49;str29;18;str21;38;str7;37;str24;29
10;str26;42;str7;16;str7;32;str13;21;str45;8
11;str37;34;str34;20;str27;47;str26;10;str42;7
12;str41;44;str42;16;str18;35;str10;17;str37;12
13;str21;14;str36;23;str48;39;str36;44;str28;42
14;str43;6;str23;13;str5;27;str29;47;str2;1
15;str33;34;str2;32;str43;28;str35;33;str24;33
16;str24;22;str41;50;str15;42;str8;7;str44;40
17;str1;44;str7;21;str31;44;str15;31;str41;20
18;str27;42;str12;40;str29;1;str28;44;str32;27
19;str11;27;str4;40;str11;43;str17;3;str33;17
20;str2;27;str22;21;str2;36;str48;48;str28;38
21;str50;45;str38;2;str39;15;str25;7;str19;33
22;str48;44;str7;31;str35;18;str31;37;str27;41
23;str34;18;str44;46;str20;21;str13;11;str14;41
24;str37;29;str18;2;str5;12;str29;21;str43;48
25;str2;23;str35;19;str17;21;str29;36;str39;21
26;str18;8;str22;5;str9;31;str19;13;str18;6
27;str34;33;str39;35;str32;39;str23;40;str12;31
28;str31;3;str38;2;str28;17;str23;41;str26;26
29;str5;28;str6;23;str33;18;str49;28;str35;25
30;str39;3;str45;21;str32;50;str28;38;str39;15
31;str25;15;str8;27;str47;41;str35;47;str7;50
32;str11;34;str12;14;str39;45;str4;14;str42;28
33;str10;23;str25;44;str39;18;str2;42;str17;14
34;str34;2;str10;26;str5;31;str39;17;str37;50
35;str21;41;str38;4;str11;18;str40;10;str33;34
36;str4;44;str33;38;str39;38;str3;48;str16;45
37;str12;46;str26;37;str36;26;str43;31;str13;49
38;str5;50;str20;25;str28;32;str16;39;str40;20
39;str35;4;str33;49;str12;45;str39;33;str17;50
40;str1;4;str13;41;str19;16;str14;36;str44;18
41;str29;5;str8;18;str31;25;str42;42;str45;7
42;str4;40;str50;29;str10;16;str2;34;str28;29
43;str41;22;str15;30;str22;13;str21;22;str6;15
44;str50;50;str34;7;str2;26;str42;28;str28;10
45;str35;41;str27;22;str47;33;str35;16;str8;46
46;str37;7;str30;49;str22;29;str12;35;str21;31
47;str29;18;str40;23;str36;2;str41;14;str42;6
48;str45;25;str17;26;str10;34;str45;20;str39;47
49;str24;40;str2;29;str41;23;str3;48;str13;1
50;str50;40;str16;25;str16;34;str37;30;str46;41
51;str31;10;str48;50;str21;36;str20;4;str46;42
52;str5;9;str40;35;str25;50;str45;10;str28;36
53;str5;48;str16;21;str4;2;str38;38;str13;37
54;str36;8;str12;7;str27;39;str46;20;str39;12
55;str38;37;str34;1;str8;5;str7;7;str25;11
56;str27;11;str31;4;str25;20;str50;15;str16;21
57;str42;45;str14;30;str12;36;str21;36;str14;27
58;str19;4;str29;29;str13;13;str26;7;str48;45
59;str20;27;str45;12;str10;21;str42;35;str41;10
60;str34;48;str37;45;str17;43;str29;34;str11;39
