1;str37;4;str46;28;str9;36;str36;5;str38;40;str32;39;str35
2;str33;30;str4;36;str18;25;str34;26;str28;25;str18;45;str42
3;str6;26;str21;1;str42;22;str38;22;str38;23;str6;49;str33
4;str16;21;str12;32;str7;21;str23;5;str13;48;str36;7;str8
5;str1;40;str23;35;str12;40;str41;23;str49;30;str19;24;str26
6;str31;34;str31;43;str35;23;str29;31;str20;28;str18;9;str28
7;str22;24;str23;40;str9;14;str47;1;str28;20;str42;25;str41
8;str29;48;str23;11;str23;22;str35;47;str9;40;str47;15;str16
9;str26;28;str13;19;str38;20;str32;31;str7;39;str11;23;str47
10;str33;19;str16;16;str8;1;str41;8;str24;18;str25;41;str45
11;str37;15;str29;50;str5;4;str19;8;str18;29;str22;41;str30
12;str25;36;str44;13;str19;19;str25;23;str27;21;str29;37;str29
13;str48;44;str25;6;str43;46;str26;15;str10;16;str20;24;str45
14;str14;35;str41;1;str47;5;str24;29;str20;14;str44;2;str19
15;str16;5;str43;7;str1;3;str16;11;str15;4;str34;13;str6
16;str24;35;str24;31;str23;35;str19;18;str34;27;str21;47;str15
17;str35;31;str5;8;str14;49;str25;36;str15;35;str27;5;str17
18;str42;41;str35;33;str8;39;str48;14;str2;42;str46;41;str42
19;str33;20;str23;26;str47;13;str8;24;str5;6;str17;6;str13
20;str20;31;str21;28;str27;21;str36;27;str16;33;str22;9;str18
21;str50;8;str43;35;str17;50;str27;47;str2;1;str41;48;str10
22;str34;24;str16;44;str12;47;str30;26;str14;7;str21;4;str31
23;str9;27;str42;14;str39;41;str49;44;str10;27;str36;29;str47
24;str49;7;str33;30;str5;21;str39;32;str46;28;str45;20;str22
25;str10;47;str27;31;str17;1;str40;6;str30;6;str33;18;str44
26;str20;26;str28;29;str17;2;str48;24;str29;6;str11;9;str30
27;str11;11;str20;25;str33;14;str22;44;str50;33;str20;25;str26
28;str2;3;str43;10;str18;36;str50;13;str43;28;str4;21;str2
29;str47;35;str17;44;str30;33;str32;41;str25;28;str7;38;str22
30;str16;10;str2;20;str45;28;str36;48;str47;49;str26;18;str14
31;str10;23;str42;9;str44;22;str20;12;str3;44;str14;29;str22
32;str16;36;str13;36;str25;44;str2;13;str38;34;str20;44;str13
33;str29;21;str35;16;str9;20;str7;6;str37;4;str42;17;str29
34;str6;29;str3;16;str12;17;str29;11;str39;6;str43;41;str14
35;str36;17;str2;36;str32;16;str38;38;str48;20;str30;28;str28
36;str6;3;str36;1;str8;31;str3;16;str19;18;str12;13;str42
37;str11;45;str2;27;str31;44;str35;30;str28;50;str29;24;str20
38;str45;32;str36;21;str11;18;str17;9;str46;44;str31;38;str29
39;str36;46;str19;12;str42;30;str30;8;str46;48;str2;13;str24
40;str3;48;str32;32;str30;14;str35;31;str5;18;str39;11;str24
41;str27;45;str22;49;str4;16;str40;40;str7;38;str47;1;str39
42;str50;18;str41;25;str4;34;str42;3;str18;38;str48;5;str32
43;str36;26;str17;21;str14;39;str15;47;str28;43;str37;29;str36
