1;str9;3;str30;38;str19;34;str2;20;str24;19;str21;41;str30;6
2;str39;30;str17;17;str13;31;str1;8;str46;2;str40;7;str15;11
3;str17;21;str50;33;str19;14;str5;36;str14;5;str23;32;str48;39
4;str25;12;str27;27;str34;6;str39;11;str6;1;str32;50;str3;13
5;str20;27;str35;19;str8;17;str26;41;str45;29;str33;34;str37;48
6;str28;12;str24;39;str36;50;str3;17;str26;20;str50;8;str16;13
7;str2;30;str23;23;str11;9;str23;22;str9;48;str46;26;str33;11
8;str50;7;str45;36;str39;4;str7;29;str11;42;str12;2;str11;39
9;str33;28;str28;41;str8;5;str33;9;str41;19;str9;34;str6;5
10;str8;17;str14;6;str47;40;str9;8;str45;45;str47;35;str49;26
11;str47;38;str9;10;str17;19;str9;49;str49;37;str1;23;str13;32
12;str15;28;str31;42;str15;45;str1;29;str1;25;str12;45;str34;38
13;str37;39;str3;23;str14;31;str28;19;str36;6;str17;47;str30;40
14;str16;47;str25;47;str30;17;str5;42;str2;39;str12;40;str11;24
15;str46;21;str24;39;str24;36;str3;33;str11;43;str11;28;str33;25
16;str44;41;str30;34;str38;4;str28;50;str5;1;str7;37;str41;36
17;str5;37;str9;32;str16;8;str37;20;str8;32;str35;17;str21;25
18;str35;27;str17;15;str40;22;str13;1;str33;7;str50;12;str6;35
19;str9;42;str17;39;str42;30;str23;35;str42;48;str30;25;str7;40
20;str34;47;str11;11;str41;12;str6;19;str13;39;str37;15;str30;33
21;str20;42;str36;15;str36;11;str27;11;str7;45;str17;50;str47;17
22;str42;39;str11;45;str30;21;str48;41;str19;41;str46;28;str4;16
23;str50;40;str41;18;str7;22;str6;3;str21;24;str40;27;str29;7
24;str49;4;str47;39;str33;8;str37;49;str46;43;str33;40;str43;13
25;str48;9;str48;31;str36;45;str28;48;str43;44;str13;48;str21;41
26;str31;27;str2;12;str21;4;str21;20;str42;18;str33;15;str39;24
27;str22;34;str24;11;str19;10;str47;23;str30;16;str7;30;str31;3
28;str49;35;str30;13;str4;11;str22;36;str5;2;str17;10;str44;41
29;str18;16;str38;4;str3;50;str35;36;str27;11;str50;28;str19;20
30;str49;4;str16;50;str32;34;str2;37;str18;33;str46;18;str11;24
31;str44;17;str4;2;str33;34;str33;18;str1;39;str44;22;str9;29
32;str41;45;str7;24;str35;46;str3;30;str23;1;str20;14;str14;28
33;str9;46;str38;18;str9;21;str38;16;str35;2;str49;2;str18;38
34;str36;31;str44;16;str12;8;str14;35;str40;43;str16;32;str13;43
35;str23;31;str23;30;str7;27;str30;39;str19;27;str4;7;str34;49
36;str20;47;str32;43;str38;19;str22;4;str28;22;str48;9;str40;2
37;str32;7;str8;9;str40;2;str46;26;str22;4;str38;25;str49;25
38;str13;8;str25;42;str5;22;str46;47;str24;7;str26;20;str13;1
39;str25;11;str34;38;str31;13;str3;43;str33;16;str50;41;str25;17
40;str44;16;str11;4;str33;34;str9;16;str7;12;str39;12;str47;6
41;str7;18;str43;1;str32;38;str16;8;str46;29;str25;17;str50;17
42;str28;14;str43;45;str3;11;str49;31;str11;49;str31;36;str16;10
43;str8;41;str16;21;str17;31;str43;15;str2;33;str34;27;str42;25
44;str35;42;str47;12;str9;28;str18;28;str48;30;str4;44;str15;4
45;str44;10;str35;50;str25;24;str42;30;str42;7;str38;45;str27;24
46;str17;26;str7;43;str50;49;str4;28;str8;19;str3;4;str17;16
47;str50;14;str36;25;str41;37;str2;3;str12;7;str37;45;str1;42
48;str26;4;str44;26;str31;41;str16;29;str1;35;str43;47;str9;43
49;str36;39;str30;27;str29;31;str5;10;str30;23;str1;22;str15;34
50;str39;37;str30;3;str46;27;str17;2;str1;18;str22;49;str26;3
51;str26;11;str31;32;str6;40;str2;3;str11;30;str29;5;str7;31
52;str31;8;str24;12;str40;39;str19;50;str27;17;str43;13;str35;26
53;str17;17;str11;24;str27;2;str25;44;str37;27;str24;9;str49;3
54;str49;38;str33;39;str28;13;str41;23;str26;10;str40;1;str49;6
55;str34;50;str19;44;str45;4;str45;37;str1;18;str23;47;str24;37
56;str49;48;str39;20;str47;17;str21;49;str46;29;str16;22;str18;38
57;str3;35;str18;42;str46;49;str48;20;str45;49;str47;27;str3;9
58;str36;1;str29;34;str22;48;str46;15;str46;9;str20;5;str10;31
59;str6;26;str3;19;str29;10;str3;34;str21;35;str39;20;str37;39
60;str17;39;str13;39;str41;30;str45;16;str36;37;str46;34;str27;1
61;str16;16;str1;25;str41;34;str4;9;str37;29;str39;39;str46;15
62;str16;18;str22;2;str28;37;str21;18;str39;25;str44;23;str12;19
63;str38;16;str25;19;str41;19;str27;31;str8;34;str17;15;str34;8
64;str9;2;str6;15;str19;26;str15;13;str28;50;str29;27;str29;29
65;str27;1;str10;2;str9;4;str49;31;str8;24;str19;19;str14;47
66;str2;26;str15;34;str43;24;str15;6;str31;50;str23;13;str38;48
67;str48;25;str10;40;str24;41;str34;19;str8;30;str32;36;str17;40
68;str15;46;str18;34;str10;7;str5;33;str46;15;str43;28;str9;13
69;str2;21;str33;49;str41;14;str3;16;str14;10;str39;12;str9;32
70;str48;48;str44;45;str33;17;str22;36;str15;47;str25;8;str39;9
71;str20;26;str23;16;str29;30;str19;10;str33;22;str4;37;str41;13
72;str32;29;str44;42;str47;9;str27;38;str30;46;str24;34;str46;40
73;str9;13;str25;28;str33;49;str38;50;str14;8;str39;15;str14;31
74;str3;47;str1;35;str14;17;str17;11;str4;42;str31;22;str34;7
75;str33;8;str20;37;str50;8;str13;43;str29;48;str48;45;str31;44
76;str24;12;str6;38;str40;3;str24;13;str47;33;str47;42;str50;31
77;str23;17;str38;21;str29;34;str12;35;str34;9;str43;44;str25;34
78;str17;3;str19;28;str33;27;str47;12;str13;6;str14;48;str15;16
79;str16;19;str19;48;str25;45;str6;10;str10;49;str13;16;str16;23
80;str24;44;str36;26;str42;10;str11;43;str38;32;str3;33;str24;10
81;str14;26;str33;16;str46;11;str33;33;str33;9;str27;13;str11;30
82;str19;38;str43;39;str33;50;str11;42;str46;36;str42;7;str41;44
83;str40;18;str33;28;str34;4;str28;9;str11;34;str50;21;str20;50
84;str2;43;str37;38;str19;45;str19;15;str33;6;str43;44;str19;39
85;str14;21;str32;49;str42;17;str48;25;str48;15;str18;13;str27;23
86;str37;20;str12;32;str30;10;str15;23;str19;24;str22;45;str32;23
87;str9;20;str7;47;str34;41;str11;36;str10;34;str19;46;str37;10
88;str13;33;str30;8;str26;22;str8;28;str19;27;str12;2;str28;24
89;str18;25;str37;11;str44;24;str37;15;str49;44;str43;19;str17;19
90;str41;48;str22;25;str5;30;str24;43;str26;48;str8;7;str36;45
91;str33;37;str18;8;str44;9;str42;46;str50;50;str50;12;str16;18
92;str1;26;str11;42;str46;13;str37;4;str21;5;str19;39;str5;1
93;str33;38;str7;11;str13;8;str29;15;str21;16;str9;22;str28;20
94;str50;38;str29;9;str35;23;str46;28;str43;46;str8;17;str7;8
95;str2;32;str32;31;str32;10;str2;22;str22;4;str19;25;str27;18
96;str12;28;str1;21;str26;16;str18;34;str10;27;str46;37;str13;21
97;str15;14;str21;2;str18;12;str22;7;str39;10;str25;13;str7;42
98;str43;15;str39;7;str28;4;str39;1;str41;5;str49;16;str20;16
99;str50;26;str34;8;str14;40;str22;34;str9;47;str15;32;str33;18
100;str4;12;str4;24;str50;25;str33;3;str1;13;str38;32;str38;1
101;str35;11;str50;48;str6;12;str27;41;str22;42;str36;17;str6;19
102;str25;41;str49;1;str9;40;str31;22;str18;5;str3;9;str28;31
103;str29;22;str24;27;str30;1;str12;29;str27;39;str19;8;str7;8
104;str2;13;str19;49;str39;37;str44;40;str7;8;str8;26;str4;41
105;str6;29;str26;26;str28;7;str5;43;str43;6;str31;27;str17;29
106;str14;13;str35;31;str21;32;str15;32;str24;41;str31;28;str12;47
107;str50;6;str44;25;str50;18;str46;35;str42;17;str38;23;str41;17
108;str17;11;str11;15;str26;28;str17;7;str49;40;str17;45;str4;39
109;str49;13;str30;19;str49;34;str35;27;str37;20;str46;19;str44;10
110;str17;38;str3;33;str30;27;str3;19;str33;28;str26;38;str15;37
111;str36;20;str8;9;str21;29;str38;40;str12;18;str30;44;str13;20
112;str35;27;str45;37;str44;15;str34;41;str39;42;str46;22;str17;44
113;str33;3;str8;37;str27;9;str29;36;str45;34;str46;18;str8;45
114;str21;32;str49;1;str8;5;str23;27;str36;48;str10;25;str8;20
115;str11;50;str42;42;str39;15;str19;25;str6;10;str16;45;str49;28
116;str46;19;str48;12;str28;45;str15;44;str31;30;str32;36;str28;9
117;str34;12;str29;40;str27;15;str33;23;str6;12;str25;43;str29;50
118;str4;29;str47;13;str14;29;str36;29;str15;27;str6;5;str37;40
119;str7;42;str47;44;str42;1;str17;20;str49;2;str13;27;str18;3
120;str28;18;str6;2;str33;19;str44;41;str13;45;str35;15;str20;45
121;str9;35;str43;30;str10;24;str4;13;str6;10;str26;11;str20;25
122;str32;20;str26;6;str5;10;str30;41;str23;1;str6;13;str37;45
123;str41;24;str36;40;str36;17;str42;36;str42;8;str29;31;str8;2
124;str25;42;str12;10;str4;20;str5;38;str12;27;str17;50;str12;29
125;str11;50;str41;24;str4;35;str39;24;str38;17;str42;1;str39;16
126;str6;20;str3;40;str44;11;str16;5;str28;28;str48;7;str37;20
127;str28;38;str38;34;str18;26;str9;20;str3;45;str30;32;str31;27
128;str16;2;str37;9;str13;6;str36;2;str42;47;str32;21;str8;30
129;str23;15;str38;43;str44;1;str50;40;str34;23;str47;2;str46;3
