1;string72;61;string11;87;string19;30;string61;67;string25;51;string45;13
2;string87;91;string13;86;string61;27;string71;27;string77;49;string17;72
3;string2;29;string66;71;string83;7;string55;92;string28;55;string83;8
4;string35;57;string97;84;string0;1;string81;46;string92;78;string92;98
5;string81;70;string37;15;string71;44;string39;84;string11;36;string8;90
6;string86;65;string9;79;string45;41;string22;36;string0;4;string10;75
7;string15;14;string99;17;string66;75;string50;78;string72;70;string43;72
8;string69;17;string48;0;string71;97;string37;96;string11;68;string54;14
9;string40;52;string58;2;string43;91;string68;32;string87;43;string10;20
10;string51;68;string60;51;string17;74;string21;70;string33;80;string39;21
11;string43;33;string43;98;string76;14;string7;46;string11;45;string90;54
12;string90;36;string67;61;string85;47;string32;51;string12;9;string72;99
13;string91;28;string48;60;string74;73;string63;51;string85;6;string62;11
14;string82;80;string37;15;string56;20;string69;25;string87;98;string42;69
15;string6;84;string34;33;string8;11;string34;47;string95;93;string55;44
16;string0;82;string1;19;string67;22;string30;2;string56;92;string65;91
17;string91;7;string50;71;string39;0;string91;92;string52;87;string3;30
18;string89;80;string30;78;string67;70;string4;43;string75;68;string2;66
19;string31;19;string48;33;string1;96;string55;42;string62;6;string48;42
20;string29;5;string15;38;string51;93;string23;40;string75;83;string6;15
21;string3;46;string40;46;string36;47;string24;80;string49;65;string93;62
22;string47;23;string2;31;string59;38;string93;26;string20;53;string36;28
23;string5;47;string82;94;string50;99;string63;11;string18;89;string65;91
24;string18;34;string50;51;string70;42;string87;21;string0;22;string1;82
25;string60;74;string59;96;string95;56;string88;68;string87;46;string19;55
26;string78;65;string81;82;string54;69;string58;79;string5;36;string10;43
27;string88;65;string2;20;string92;22;string89;48;string69;77;string0;39
28;string11;30;string18;21;string19;11;string54;61;string91;79;string70;38
29;string42;70;string86;17;string29;65;string35;74;string21;69;string72;79
30;string0;95;string95;58;string83;78;string30;15;string5;28;string48;67
31;string10;79;string88;9;string91;1;string45;28;string22;99;string32;10
32;string70;72;string37;23;string18;40;string4;90;string53;13;string0;58
33;string98;95;string5;93;string83;85;string4;92;string70;54;string55;17
34;string75;52;string63;77;string71;28;string96;60;string46;79;string38;19
35;string32;88;string77;39;string56;95;string23;73;string50;80;string75;68
36;string1;6;string45;74;string47;35;string19;79;string56;23;string80;71
37;string92;16;string77;43;string89;70;string39;56;string28;23;string70;97
38;string94;96;string45;44;string43;99;string1;25;string41;64;string23;68
39;string48;33;string54;24;string60;56;string85;65;string56;17;string23;56
40;string14;40;string0;41;string13;45;string35;69;string61;94;string31;51
41;string15;65;string33;22;string66;83;string74;25;string36;54;string62;30
42;string49;64;string12;7;string96;52;string51;38;string11;90;string27;28
43;string2;36;string70;47;string27;39;string40;43;string84;13;string69;80
44;string79;81;string16;77;string22;15;string95;29;string78;91;string16;91
45;string48;44;string64;59;string86;80;string7;63;string60;8;string16;32
46;string25;80;string53;50;string76;77;string63;83;string50;9;string94;79
47;string95;4;string50;36;string57;72;string87;96;string85;11;string10;6
48;string56;98;string68;41;string27;36;string11;53;string4;28;string9;10
49;string88;59;string9;15;string59;80;string68;60;string28;22;string2;32
50;string55;24;string81;86;string1;74;string44;88;string44;11;string1;61
51;string12;42;string43;25;string68;95;string11;62;string93;78;string93;24
52;string54;50;string2;97;string63;60;string40;73;string81;46;string50;37
53;string56;82;string96;87;string90;27;string48;1;string1;16;string67;7
54;string67;89;string67;84;string15;63;string38;63;string60;31;string67;4
55;string29;99;string64;94;string73;45;string26;75;string90;26;string8;94
56;string50;49;string96;31;string60;7;string52;53;string69;93;string88;58
57;string5;80;string33;16;string90;50;string70;44;string24;73;string91;36
58;string48;61;string83;33;string20;52;string94;89;string43;68;string16;27
59;string13;68;string72;81;string70;92;string29;52;string26;50;string20;38
60;string46;8;string38;20;string70;37;string58;94;string74;60;string97;91
61;string17;10;string14;29;string32;3;string52;70;string24;73;string73;58
62;string17;83;string40;89;string37;24;string60;95;string39;46;string38;88
63;string32;24;string44;0;string20;15;string83;90;string1;37;string82;87
64;string40;41;string73;51;string82;10;string5;73;string49;45;string77;78
65;string17;45;string52;49;string41;31;string15;14;string37;46;string19;15
66;string24;94;string77;15;string22;10;string19;29;string39;11;string65;4
67;string22;14;string45;54;string6;6;string96;38;string21;69;string25;92
68;string5;3;string39;87;string13;98;string3;47;string54;68;string73;91
69;string46;59;string15;82;string28;7;string55;3;string3;20;string74;29
70;string5;38;string74;25;string40;59;string89;85;string64;86;string74;54
71;string90;95;string22;20;string34;61;string81;44;string49;48;string77;56
72;string97;17;string34;0;string9;90;string51;31;string76;16;string43;78
73;string40;3;string35;40;string4;53;string25;29;string71;30;string9;74
74;string36;14;string36;94;string78;33;string31;3;string26;68;string40;8
75;string96;84;string89;88;string49;69;string43;50;string73;21;string17;36
76;string55;20;string96;74;string11;15;string52;68;string0;90;string43;24
77;string46;19;string5;2;string75;91;string78;28;string26;83;string66;52
78;string6;40;string23;15;string30;4;string59;38;string60;97;string19;58
79;string17;43;string26;82;string61;65;string45;95;string17;53;string86;94
80;string52;61;string45;39;string53;90;string36;99;string64;65;string47;66
81;string1;70;string20;6;string30;9;string65;76;string79;69;string2;74
82;string98;68;string42;10;string57;18;string17;58;string13;52;string8;14
83;string40;81;string49;96;string51;78;string97;60;string65;14;string73;56
84;string53;30;string44;38;string5;25;string34;25;string69;95;string18;77
85;string42;80;string12;96;string91;36;string40;82;string82;56;string8;32
