1;str1;37;str37;30;str7
2;str31;32;str50;50;str38
3;str4;15;str11;48;str3
4;str12;17;str9;29;str28
5;str20;5;str50;40;str46
6;str43;15;str23;8;str50
7;str3;8;str12;20;str31
8;str37;48;str13;37;str12
9;str7;14;str43;46;str45
10;str6;7;str19;24;str27
11;str7;43;str28;42;str15
12;str9;30;str19;1;str5
13;str12;7;str25;11;str19
14;str25;9;str13;31;str28
15;str13;18;str8;36;str4
16;str13;21;str10;33;str29
17;str33;21;str7;14;str25
18;str34;35;str10;46;str33
19;str4;29;str34;35;str30
20;str1;1;str50;23;str11
21;str6;37;str45;31;str17
22;str19;28;str16;44;str46
23;str2;34;str14;28;str4
24;str2;26;str9;1;str30
25;str33;24;str8;44;str8
26;str32;9;str32;27;str46
27;str28;15;str41;16;str1
28;str49;34;str15;48;str48
29;str17;30;str5;48;str14
30;str19;5;str20;12;str8
31;str6;12;str9;29;str11
32;str19;17;str27;29;str29
33;str30;44;str12;17;str15
34;str30;31;str13;40;str30
35;str20;30;str17;38;str25
36;str13;7;str46;9;str1
37;str41;32;str18;1;str33
38;str49;14;str38;45;str43
39;str40;45;str39;30;str45
40;str29;26;str10;20;str18
41;str4;14;str7;14;str49
42;str22;12;str41;42;str5
43;str27;25;str22;42;str15
44;str19;15;str39;28;str44
45;str4;35;str44;47;str3
46;str40;10;str47;5;str32
47;str7;4;str27;4;str29
48;str26;50;str30;23;str7
49;str2;1;str18;34;str36
50;str31;45;str48;31;str24
51;str12;37;str35;4;str24
52;str25;38;str19;7;str18
53;str30;37;str16;11;str16
54;str10;46;str27;27;str25
55;str34;36;str4;34;str16
56;str27;50;str32;15;str24
57;str46;40;str19;42;str20
58;str45;41;str2;21;str40
59;str4;31;str34;44;str41
60;str14;13;str31;38;str12
61;str18;13;str44;23;str27
62;str36;40;str12;19;str34
63;str48;26;str27;7;str26
64;str9;37;str47;28;str33
65;str10;43;str29;45;str20
66;str21;30;str23;42;str41
67;str43;11;str34;4;str26
68;str31;7;str1;11;str29
69;str5;38;str46;43;str17
70;str15;18;str18;17;str2
71;str32;24;str30;17;str30
72;str23;25;str44;44;str27
73;str14;34;str36;31;str32
74;str45;41;str32;20;str26
75;str1;26;str14;28;str44
76;str2;46;str49;15;str8
77;str48;3;str43;30;str6
78;str22;34;str6;6;str13
79;str42;45;str15;48;str33
80;str5;9;str30;5;str48
81;str50;20;str20;46;str38
82;str42;18;str44;48;str21
83;str24;8;str38;27;str30
84;str35;43;str15;17;str47
85;str8;43;str8;2;str17
86;str47;46;str35;25;str32
87;str32;31;str50;48;str23
88;str44;50;str48;23;str13
89;str27;48;str44;39;str50
