1;str35;1;str12;18;str44;26;str36;28
2;str33;31;str1;42;str12;41;str2;26
3;str26;42;str10;1;str37;36;str25;42
4;str23;15;str11;29;str5;2;str28;4
5;str21;7;str23;26;str49;36;str1;48
6;str9;1;str33;48;str12;42;str48;44
7;str20;48;str47;22;str10;16;str30;32
8;str17;22;str48;36;str20;32;str6;49
9;str14;39;str26;23;str41;20;str5;32
10;str30;34;str26;50;str19;22;str1;44
11;str26;11;str25;4;str30;17;str44;13
12;str30;24;str27;41;str5;38;str6;8
13;str7;21;str32;27;str38;7;str15;18
14;str31;45;str45;30;str42;48;str29;17
15;str49;24;str46;6;str6;9;str20;16
16;str26;36;str37;44;str24;38;str13;37
17;str20;47;str21;49;str49;13;str45;30
18;str13;8;str21;19;str36;28;str17;35
19;str24;22;str45;43;str5;8;str43;43
20;str9;40;str10;23;str37;26;str30;39
21;str32;50;str29;26;str14;28;str40;11
22;str37;31;str49;24;str24;36;str43;41
23;str34;3;str17;19;str13;28;str34;35
24;str38;38;str50;49;str6;38;str36;42
25;str14;30;str43;40;str36;14;str28;35
26;str20;4;str23;19;str43;21;str7;25
27;str4;26;str28;17;str25;30;str16;14
28;str8;42;str49;46;str27;34;str4;34
29;str17;5;str11;47;str28;36;str43;42
30;str15;48;str12;43;str31;46;str37;50
31;str22;2;str38;29;str30;18;str10;41
32;str23;16;str11;24;str25;32;str2;35
33;str47;8;str28;49;str22;4;str16;10
34;str12;42;str19;34;str40;48;str6;23
35;str16;38;str9;1;str31;15;str14;39
36;str6;6;str34;10;str9;8;str25;30
37;str35;8;str14;44;str27;27;str48;43
38;str30;26;str42;14;str5;24;str10;2
39;str16;14;str45;31;str45;9;str40;13
40;str16;20;str34;17;str42;33;str14;18
41;str22;21;str20;21;str1;21;str26;19
42;str30;49;str36;33;str46;11;str36;48
43;str39;35;str37;10;str24;32;str13;12
44;str36;14;str36;18;str46;38;str3;24
45;str50;7;str43;37;str50;25;str30;46
46;str8;1;str18;48;str36;2;str47;25
47;str37;19;str11;40;str45;3;str40;1
48;str2;50;str21;18;str8;33;str49;32
49;str8;23;str26;30;str14;46;str10;27
50;str31;22;str20;10;str10;13;str22;48
51;str16;40;str35;16;str39;33;str37;34
52;str28;11;str24;33;str3;6;str32;45
53;str43;21;str10;45;str28;10;str46;14
54;str4;6;str41;49;str7;46;str24;35
55;str6;42;str14;16;str14;47;str40;22
56;str24;2;str46;33;str9;44;str17;9
57;str19;27;str43;34;str40;10;str32;40
